,Date,Ticker,Predicted_Movement,Buy
8,2025-12-22,AAMI,1.0,1
10325,2025-12-22,NRIM,1.0,1
10424,2025-12-22,NUS,1.0,1
10415,2025-12-22,NTST,1.0,1
10406,2025-12-22,NTLA,1.0,1
10397,2025-12-22,NTIC,1.0,1
10388,2025-12-22,NTGR,1.0,1
10379,2025-12-22,NTCT,1.0,1
10370,2025-12-22,NTB,1.0,1
10361,2025-12-22,NSSC,1.0,1
10352,2025-12-22,NSP,1.0,1
10334,2025-12-22,NRIX,1.0,1
10316,2025-12-22,NRGV,1.0,1
9614,2025-12-22,MRVI,1.0,1
10307,2025-12-22,NREF,1.0,1
10298,2025-12-22,NRDY,1.0,1
10289,2025-12-22,NRDS,1.0,1
10280,2025-12-22,NRC,1.0,1
10271,2025-12-22,NPWR,1.0,1
10253,2025-12-22,NPKI,1.0,1
10235,2025-12-22,NPCE,1.0,1
10217,2025-12-22,NOTE,1.0,1
10208,2025-12-22,NOG,1.0,1
10199,2025-12-22,NODK,1.0,1
10433,2025-12-22,NUVB,1.0,1
10451,2025-12-22,NVAX,1.0,1
10460,2025-12-22,NVCR,1.0,1
10478,2025-12-22,NVRI,1.0,1
10709,2025-12-22,OII,1.0,1
10700,2025-12-22,OI,1.0,1
10682,2025-12-22,OFLX,1.0,1
10673,2025-12-22,OFIX,1.0,1
10664,2025-12-22,OFG,1.0,1
10655,2025-12-22,OEC,1.0,1
10640,2025-12-22,ODC,1.0,1
10631,2025-12-22,OCUL,1.0,1
10622,2025-12-22,OCGN,1.0,1
10613,2025-12-22,OCFC,1.0,1
10604,2025-12-22,OBT,1.0,1
10595,2025-12-22,OBK,1.0,1
10586,2025-12-22,OBIO,1.0,1
10577,2025-12-22,OABI,1.0,1
10559,2025-12-22,NXRT,1.0,1
10550,2025-12-22,NXDT,1.0,1
10541,2025-12-22,NX,1.0,1
10523,2025-12-22,NWN,1.0,1
10514,2025-12-22,NWFL,1.0,1
10496,2025-12-22,NWBI,1.0,1
10487,2025-12-22,NVTS,1.0,1
10190,2025-12-22,NNOX,1.0,1
10172,2025-12-22,NNE,1.0,1
10163,2025-12-22,NNBR,1.0,1
9902,2025-12-22,NBR,1.0,1
9875,2025-12-22,NBBK,1.0,1
9866,2025-12-22,NAVI,1.0,1
9857,2025-12-22,NAUT,1.0,1
9848,2025-12-22,NATR,1.0,1
9839,2025-12-22,NATL,1.0,1
9821,2025-12-22,NAT,1.0,1
9812,2025-12-22,NAGE,1.0,1
9803,2025-12-22,NABL,1.0,1
9785,2025-12-22,MYPS,1.0,1
9776,2025-12-22,MYGN,1.0,1
9767,2025-12-22,MYFW,1.0,1
9758,2025-12-22,MYE,1.0,1
9749,2025-12-22,MXL,1.0,1
9740,2025-12-22,MXCT,1.0,1
9731,2025-12-22,MWA,1.0,1
9722,2025-12-22,MVIS,1.0,1
9713,2025-12-22,MVBF,1.0,1
9704,2025-12-22,MUR,1.0,1
9686,2025-12-22,MTW,1.0,1
9677,2025-12-22,MTUS,1.0,1
9668,2025-12-22,MTRX,1.0,1
9884,2025-12-22,NBHC,1.0,1
9911,2025-12-22,NBTB,1.0,1
10154,2025-12-22,NN,1.0,1
9920,2025-12-22,NC,1.0,1
10145,2025-12-22,NMRK,1.0,1
10136,2025-12-22,NMRA,1.0,1
10127,2025-12-22,NMIH,1.0,1
10118,2025-12-22,NLOP,1.0,1
10109,2025-12-22,NL,1.0,1
10100,2025-12-22,NKTX,1.0,1
10091,2025-12-22,NKTR,1.0,1
10082,2025-12-22,NKSH,1.0,1
10073,2025-12-22,NJR,1.0,1
10028,2025-12-22,NGVC,1.0,1
10019,2025-12-22,NGS,1.0,1
10010,2025-12-22,NGNE,1.0,1
10001,2025-12-22,NG,1.0,1
9992,2025-12-22,NFBK,1.0,1
9983,2025-12-22,NEXT,1.0,1
9974,2025-12-22,NEWT,1.0,1
9965,2025-12-22,NEOG,1.0,1
9956,2025-12-22,NEO,1.0,1
9947,2025-12-22,NECB,1.0,1
9938,2025-12-22,NE,1.0,1
9929,2025-12-22,NCMI,1.0,1
10718,2025-12-22,OIS,1.0,1
10727,2025-12-22,OLMA,1.0,1
10736,2025-12-22,OLP,1.0,1
11499,2025-12-22,PINE,1.0,1
11463,2025-12-22,PHAT,1.0,1
11454,2025-12-22,PGY,1.0,1
11438,2025-12-22,PGNY,1.0,1
11429,2025-12-22,PGEN,1.0,1
11420,2025-12-22,PGC,1.0,1
11402,2025-12-22,PFS,1.0,1
11375,2025-12-22,PESI,1.0,1
11366,2025-12-22,PEPG,1.0,1
11357,2025-12-22,PENG,1.0,1
11348,2025-12-22,PECO,1.0,1
11339,2025-12-22,PEBO,1.0,1
11330,2025-12-22,PEBK,1.0,1
11321,2025-12-22,PEB,1.0,1
11312,2025-12-22,PDM,1.0,1
11303,2025-12-22,PDLB,1.0,1
11294,2025-12-22,PDFS,1.0,1
11285,2025-12-22,PD,1.0,1
11276,2025-12-22,PCYO,1.0,1
11267,2025-12-22,PCVX,1.0,1
11258,2025-12-22,PCT,1.0,1
11249,2025-12-22,PCRX,1.0,1
11481,2025-12-22,PHR,1.0,1
11526,2025-12-22,PKBK,1.0,1
11231,2025-12-22,PCB,1.0,1
11535,2025-12-22,PKE,1.0,1
11787,2025-12-22,PRCH,1.0,1
11769,2025-12-22,PRAA,1.0,1
11760,2025-12-22,PRA,1.0,1
11751,2025-12-22,PPTA,1.0,1
11742,2025-12-22,POWW,1.0,1
11724,2025-12-22,POWI,1.0,1
11715,2025-12-22,POR,1.0,1
11706,2025-12-22,PNTG,1.0,1
11688,2025-12-22,PMTS,1.0,1
11679,2025-12-22,PMT,1.0,1
11670,2025-12-22,PLYM,1.0,1
11643,2025-12-22,PLUG,1.0,1
11634,2025-12-22,PLSE,1.0,1
11625,2025-12-22,PLRX,1.0,1
11607,2025-12-22,PLOW,1.0,1
11589,2025-12-22,PLBC,1.0,1
11580,2025-12-22,PLAY,1.0,1
