Price,Close,High,Low,Open,Volume,Ticker
Ticker,MSI,MSI,MSI,MSI,MSI,
Date,,,,,,
2024-01-02,305.2005310058594,307.9818438977764,304.1232545614933,305.9056248018223,800200,MSI
2024-01-03,305.55303955078125,307.7467441170548,304.11341345741846,306.49319438104374,720200,MSI
2024-01-04,305.3081970214844,307.79572045137775,305.2690151875933,306.62050453050375,739200,MSI
2024-01-05,302.7716979980469,305.739086613886,300.9599193635753,305.2689943003048,492800,MSI
2024-01-08,306.395263671875,306.5519611293187,302.233082723288,303.94692193741207,525400,MSI
2024-01-09,305.5628662109375,306.38550548717535,303.04596361296865,305.2592742120992,629600,MSI
2024-01-10,308.53021240234375,308.6085461804706,305.57259672762564,306.0035072247769,418700,MSI
2024-01-11,307.78594970703125,309.49978900345286,306.2679897135663,308.9513628195568,624900,MSI
2024-01-12,309.77398681640625,309.8033657217021,307.1885534894155,308.7750741493618,692300,MSI
2024-01-16,309.12762451171875,310.59662956710815,307.5900587142016,309.11785146783217,499900,MSI
2024-01-17,310.4791259765625,311.3017652530221,309.19619723609725,309.19619723609725,446100,MSI
2024-01-18,314.33770751953125,314.40626826265617,310.2538602558788,310.61623994654565,724500,MSI
2024-01-19,319.5379333496094,321.28115124046786,315.4247078203127,316.34528658270784,736400,MSI
2024-01-22,318.274658203125,321.3693660885991,318.0690058427481,320.67404532647606,797300,MSI
2024-01-23,322.6620178222656,322.73057855438407,318.519413411539,319.10702132530577,596000,MSI
2024-01-24,321.5652160644531,324.0918916366547,321.3889426287847,323.01461527370645,559700,MSI
2024-01-25,321.8002624511719,324.0037701616458,320.07662018936566,322.7306443281664,392600,MSI
2024-01-26,319.3616638183594,322.46614403153023,319.34205795914687,321.22239733773677,487000,MSI
2024-01-29,319.9982604980469,321.44768954515627,318.35298204693913,318.3823609518881,622800,MSI
2024-01-30,320.7523498535156,321.3007760224713,318.92099498000454,319.1266473216167,791900,MSI
2024-01-31,312.8980712890625,319.8415648088512,312.88826835836414,319.83176187815286,832400,MSI
2024-02-01,318.43133544921875,318.4900932627366,312.2125411647049,312.89808883839385,533100,MSI
2024-02-02,320.85028076171875,323.171303929067,318.01021034549933,318.01021034549933,568900,MSI
2024-02-05,318.5782165527344,319.8611452387657,316.9427410004583,319.8513721949151,670400,MSI
2024-02-06,318.65655517578125,320.20389388985956,314.81754246332366,318.1962657674889,706500,MSI
2024-02-07,321.15386962890625,322.12343326323054,319.59672789739585,321.7120987082167,543400,MSI
2024-02-08,321.5652160644531,323.5630713296494,319.4106633385567,323.1811156653831,941500,MSI
2024-02-09,324.0527648925781,326.1191511743858,316.49228367587864,317.12884661218504,1203300,MSI
2024-02-12,313.47589111328125,323.9645791497927,312.94704090938586,323.18112171860236,907100,MSI
2024-02-13,312.62384033203125,315.1113637414452,308.3343411092329,313.1428875506312,747500,MSI
2024-02-14,312.7903747558594,313.4954685149476,309.80337977601226,313.20167944866085,496800,MSI
2024-02-15,317.20709228515625,318.39208110388984,311.8403472927893,312.2712278648008,725000,MSI
2024-02-16,313.86761474609375,317.46179364636686,312.8001413114148,317.46179364636686,548700,MSI
2024-02-20,316.3648986816406,319.33228733772546,311.6249131982532,312.7413413635523,641700,MSI
2024-02-21,318.108154296875,319.2539614999923,315.3366146971599,318.32360956651013,430200,MSI
2024-02-22,324.19964599609375,325.8841064010938,319.0483251287243,320.97761972115467,563500,MSI
2024-02-23,323.44549560546875,326.71647633870384,323.32797999266705,324.4835900345262,442200,MSI
2024-02-26,321.7611083984375,325.5315612282472,321.1931061787388,324.89499825653644,553100,MSI
2024-02-27,321.88836669921875,321.98630634275634,319.47920688050647,321.5064409425002,352300,MSI
2024-02-28,324.4052734375,325.24748863184226,321.29098998537603,322.02549249127225,370100,MSI
2024-02-29,323.5630187988281,327.7643511017581,321.3497086203756,325.7567231185107,1064400,MSI
2024-03-01,328.626220703125,328.9396156200413,323.2104899469108,324.0429321194143,463300,MSI
2024-03-04,328.8318786621094,328.8612575681359,325.9624292545742,328.1267550304879,507500,MSI
2024-03-05,324.9537048339844,328.7437330437204,322.84813692712925,328.39118618094676,574500,MSI
2024-03-06,330.5555114746094,332.61212449910477,327.0984541575849,328.0386090107602,772000,MSI
2024-03-07,327.2943115234375,331.30956777013995,327.0886293138787,331.26061289375843,529200,MSI
2024-03-08,328.4793701171875,330.4086648700016,325.492374850035,326.971183028884,622400,MSI
2024-03-11,331.04522705078125,331.13336377893654,322.88736441697966,325.1202511912113,491900,MSI
2024-03-12,333.3858337402344,333.75795660480406,329.1257128472437,331.6132067046153,645000,MSI
2024-03-13,336.5783996582031,337.72423664457943,332.39664308404144,333.9537847107712,875800,MSI
2024-03-14,336.5686340332031,338.4739827946886,334.5847274755268,338.38559403430446,799600,MSI
2024-03-15,338.0418395996094,338.5132762935732,332.98383850037436,333.86775607566125,1231100,MSI
2024-03-18,333.95611572265625,340.8801710933124,333.7498752999742,338.847169839119,749600,MSI
2024-03-19,339.6230163574219,340.9292755587093,334.9186009630922,335.4194705310954,756900,MSI
2024-03-20,339.8489990234375,341.0079139473861,338.27757320882773,340.3106047944956,686400,MSI
2024-03-21,342.932861328125,343.49265675635525,339.08287029361185,340.3498356813465,457100,MSI
2024-03-22,342.3337707519531,345.054280249984,342.26501394839585,343.74805084465294,374400,MSI
2024-03-25,341.7052001953125,342.8935778580938,340.7623268689796,341.17483769580645,411100,MSI
2024-03-26,341.4007263183594,343.8462685325878,340.82126891848833,341.4891450495247,451800,MSI
2024-03-27,347.0971374511719,347.21498912840883,342.7069826393893,344.2391143883717,537500,MSI
2024-03-28,348.63909912109375,349.04177899874935,345.6140995429568,347.62749893123487,705400,MSI
2024-04-01,347.27392578125,348.0989175200502,345.1525056075701,347.4899971870633,492200,MSI
2024-04-02,345.78106689453125,347.8730240210899,343.76766755966133,346.3703552357724,529400,MSI
2024-04-03,344.0918273925781,347.81413635029605,343.86592501145293,345.4962766130591,719900,MSI
